Date;Heure;Probleme;Name;satisfiedCost;undeliveredCost;travelCost;distanceCost;firstDeliveryCost;maxfirstDelivery;clientWaitingCost;driverUsed;underWorkCost;overTimeCost;Depot;runtime;MAX_OVERTIME;INTRA_ORDER_DELIVERY;INTER_ORDER_DELIVERY;FIRST_DEL_MAX_ARRIVAL;LOCAL_SEARCH
2023-8-9;2:15:59;cq;20201019;3005.5;4;20180.2;18885.3;584.831;47.625;0;136;1790.1;3033.03;8;3008053;120;20;25;60;0
2023-8-9;2:15:59;cq;20201114;388;0;1734.78;1413.18;8.02667;7.87024;0;19;174.919;0;2;611098;120;20;25;60;0
2023-8-9;2:16:0;cq;20201022;3369.5;67.5;25995.7;24879.2;1016.1;58.4048;0;147;1524.08;3227.42;8;3008653;120;20;25;60;0
2023-8-9;2:16:0;cq;20201013;1565;0;8726.49;8116.4;53.8355;16.2367;0;94;4138.46;284.373;8;3008122;120;20;25;60;0
2023-8-9;2:16:0;cq;20201016;2060;0;11954.8;11172.2;344.446;45.0717;0;112;3163.07;591.995;8;3009155;120;20;25;60;0
2023-8-9;2:16:7;cq;20201014;3471;0;20886.9;19636.8;886.102;59.1917;0;137;943.335;2931.95;8;3011829;120;20;25;60;0
2023-8-9;2:16:9;cq;20201015;3970;211;23901.5;22056.9;678.891;59.775;0;140;825.821;4740.07;8;3010141;120;20;25;60;0
2023-8-9;2:17:4;cq;20201031;375;0;1015.38;703.456;0;0;0;15;262.603;12.401;2;934130;120;20;25;60;0
2023-8-9;2:17:35;cq;20201121;226.5;0;1243.55;958.349;6.1319;6.1319;0;13;0;0;1;520983;120;20;25;60;0
2023-8-9;2:18:55;cq;20201024;937.5;0;4045.28;3641.2;0.993333;0.993333;0;31;808.525;907.787;3;3003552;120;20;25;60;0
2023-8-9;2:19:54;cq;20201026;1839.5;0;12578.1;11790.9;76.0376;26.2267;0;116;3166.43;639.137;8;3005547;120;20;25;60;0
2023-8-9;2:20:1;cq;20201106;3301.5;49;23243.9;22099;1802.74;55.7733;0;141;1129.62;2596.4;8;3006080;120;20;25;60;0
2023-8-9;2:20:3;cq;20201027;3577;20;23651.1;22267.6;1007.25;56.4857;0;154;1719.41;6036.8;8;3009052;120;20;25;60;0
2023-8-9;2:20:3;cq;20201029;3936.5;10;26649.6;24629.5;1920.83;59.7733;0;150;244.516;4792.39;8;3006165;120;20;25;60;0
2023-8-9;2:20:3;cq;20201030;3478;35;20010.8;18229.7;987.565;55.9172;0;149;2678.53;2022.97;8;3006849;120;20;25;60;0
2023-8-9;2:20:5;cq;20201105;3663;417;23209.6;21725.8;1184.2;56.3233;0;146;1265.83;3963.55;8;3010593;120;20;25;60;0
2023-8-9;2:20:6;cq;20201028;2991;101.5;22166.5;20801.3;1369.86;59.4283;0;146;1397.13;3052.39;7;3006147;120;20;25;60;0
2023-8-9;2:20:12;cq;20201104;3891;62.5;25717.1;24407.8;1404.31;55.435;0;148;776.632;4492.71;8;3017189;120;20;25;60;0
2023-8-9;2:20:25;cq;20201103;3988.5;54;23957.2;22545.7;1134.74;58.6517;0;144;975.112;4185.91;8;3028332;120;20;25;60;0
2023-8-9;2:20:26;cq;20201102;3078.5;0;21915.1;20811.2;294.468;56.2367;0;132;763.439;2430.99;8;3030913;120;20;25;60;0
2023-8-9;2:21:9;cq;20201112;3653.5;31;25435.6;24110;1290.13;58.19;0;142;442.623;5188.73;8;3005707;120;20;25;60;0
2023-8-9;2:21:12;cq;20201109;1746.5;0;13498;12385.1;165.94;39.7233;0;94;1373;575.775;7;3008374;120;20;25;60;0
2023-8-9;2:21:12;cq;20201113;3670.5;0;25652.5;24312;1676.48;59.7632;0;144;286.953;2986.66;8;3007087;120;20;25;60;0
2023-8-9;2:21:13;cq;20201110;3499.5;0;21729;19971.8;1081.37;59.0317;0;142;1307.4;4645.67;8;3006899;120;20;25;60;0
2023-8-9;2:21:22;cq;20201111;3437.5;0;24362.8;22809.3;946.255;56.8617;0;143;2287.99;3127.55;8;3007136;120;20;25;60;0
2023-8-9;2:22:4;cq;20201021;1160.5;0;6107.12;5641.43;57.1192;18.3772;0;73;2787.31;403.193;6;2391749;120;20;25;60;0
2023-8-9;2:24:7;cq;20201124;2677.5;8;19654;17993.7;873.314;57.7442;0;127;948.637;3191.75;8;3004934;120;20;25;60;0
2023-8-9;2:24:8;cq;20201120;3307.5;94;23391.8;21558.5;1458.32;59.6458;0;140;1290.4;2676.33;8;3005426;120;20;25;60;0
2023-8-9;2:24:8;cq;20201123;2595;0;19346.3;18035.8;632.854;56.5274;0;128;1155.99;2742.77;7;3005762;120;20;25;60;0
2023-8-9;2:24:9;cq;20201118;3541;0;21961.6;20481.7;935.812;56.6143;0;139;500.558;4142.48;8;3006840;120;20;25;60;0
2023-8-9;2:24:9;cq;20201117;3257;31.5;22164.9;20755.8;1366.44;58.8509;0;140;834.707;3459.22;7;3007308;120;20;25;60;0
2023-8-9;2:24:14;cq;20201116;2886;53.5;22900.8;21352.5;1438.33;59.7824;0;137;703.873;3165.98;7;3012278;120;20;25;60;0
2023-8-9;2:24:18;cq;20201126;2939.5;31.5;22275.2;21084.4;961.398;58.3817;0;133;805.668;3268.7;7;3005495;120;20;25;60;0
2023-8-9;2:24:23;cq;20201125;2412.5;12.5;18497.9;17159.5;780.173;56.6898;0;137;1611.39;2572.83;7;3020733;120;20;25;60;0
2023-8-9;2:24:24;cq;20201119;3293.5;154;21076.9;19523.8;997.833;58.9469;0;141;600.559;2658.46;8;3021348;120;20;25;60;0
2023-8-9;2:28:10;cq;20201128;776;0;2685.14;2040.19;0;0;0;31;422.728;583.183;3;3003906;120;20;25;60;0
2023-8-9;2:28:13;cq;20201002;2893.5;0;17312.6;16114.8;872.446;49.5132;0;131;2106.97;1458.84;8;3004808;120;20;25;60;0
2023-8-9;2:28:13;cq;20201008;4163;139.5;24694.8;23056.7;865.568;57.6817;0;141;338.348;5530.77;8;3005584;120;20;25;60;0
2023-8-9;2:28:14;cq;20201130;2327.5;0;15245.6;13729;320.994;37.3733;0;117;1469.02;1287.62;6;3006185;120;20;25;60;0
2023-8-9;2:28:15;cq;20201006;3687;52.5;24833.9;23366.5;1426.07;56.9172;0;137;1133.32;4533.91;8;3007327;120;20;25;60;0
2023-8-9;2:28:16;cq;20201007;2512.5;0;14414.5;13255.7;46.5297;22.5733;0;127;2422.07;1023.51;8;3008060;120;20;25;60;0
2023-8-9;2:28:16;cq;20201001;3085;89;19532;18484.5;969.671;56.6183;0;130;1099.33;3539.22;7;3008253;120;20;25;60;0
2023-8-9;2:28:17;cq;20201005;3172;28;20648.6;19382.4;711.5;51.818;0;116;751.095;3541.57;8;3008605;120;20;25;60;0
2023-8-9;2:30:37;cq;20201127;2583.5;546;17435.8;15976.8;768.598;58.795;0;136;1422.46;3342.26;7;3004654;120;20;25;60;0
2023-8-9;2:32:4;cq;20201017;297;522;1268.09;999.706;0;0;0;18;2280.88;258.905;2;3004339;120;20;25;60;0
2023-8-9;2:32:4;cq;20201015;3983;198;24760.9;22911;1042.3;59.775;0;140;355.851;5243.39;8;3005110;120;20;25;60;0
2023-8-9;2:32:6;cq;20201014;3471;0;22616.1;21414;852.635;50.5665;0;137;511.189;4467.45;8;3007186;120;20;25;60;0
2023-8-9;2:32:6;cq;20201009;3229;0;18691.5;17144.2;329.872;47.0332;0;129;712.469;1685.85;8;3007323;120;20;25;60;0
2023-8-9;2:32:7;cq;20201013;1565;0;8946.66;8341.34;50.4479;31.2367;0;97;3835.06;409.786;8;3007828;120;20;25;60;0
2023-8-9;2:32:7;cq;20201016;2060;0;11448.3;10607.8;333.976;42.405;0;107;3569.1;859.34;8;3008306;120;20;25;60;0
2023-8-9;2:32:18;cq;20201020;2673;0;19081.4;18394;358.265;50.2933;0;134;1125.27;2361.35;8;3017902;120;20;25;60;0
2023-8-9;2:32:30;cq;20201019;3005.5;4;20081.1;18847.8;432.692;50.2;0;137;1222.61;2818.07;8;3028132;120;20;25;60;0
2023-8-9;2:35:53;cq;20201024;937.5;0;4197.04;3757.98;0.993333;0.993333;0;30;921.18;1108.27;3;3003548;120;20;25;60;0
2023-8-9;2:35:54;cq;20201029;3946.5;0;27529.8;25616;1668.73;59.1739;0;150;451.089;4957.46;8;3006496;120;20;25;60;0
2023-8-9;2:35:55;cq;20201102;3078.5;0;23185.1;22146.2;471.87;44.4367;0;132;768.495;4671.37;8;3006353;120;20;25;60;0
2023-8-9;2:35:55;cq;20201027;3577;20;23853.4;22479.6;784.76;53.1957;0;153;1396.4;5833.16;8;3007291;120;20;25;60;0
2023-8-9;2:35:57;cq;20201103;3988.5;54;24071.9;22659.4;1316.32;58.6517;0;144;1001.68;4339.73;8;3007192;120;20;25;60;0
2023-8-9;2:35:57;cq;20201022;3369.5;67.5;26043.6;25010.1;904.804;59.1317;0;147;1209.24;3011.65;8;3011678;120;20;25;60;0
2023-8-9;2:36:3;cq;20201023;3701;117;22588.3;20976.4;946.993;49.2433;0;145;1924.51;4582.94;8;3017388;120;20;25;60;0
2023-8-9;2:36:3;cq;20201105;3686;394;23426.4;21932.8;1321.1;58.5825;0;146;1082.32;3962.05;8;3005326;120;20;25;60;0
2023-8-9;2:36:13;cq;20201026;1839.5;0;13139.2;12336.1;76.0198;26.2267;0;116;2703.15;248.21;8;3024322;120;20;25;60;0
2023-8-9;2:36:13;cq;20201028;3002;90.5;22700.5;21296.3;1650.54;59.6633;0;145;1214.76;1871.74;7;3024212;120;20;25;60;0
2023-8-9;2:36:16;cq;20201030;3478;35;19853.3;18131.5;1269.64;59.4367;0;149;3566.99;2414.92;8;3025757;120;20;25;60;0
2023-8-9;2:36:20;cq;20201104;3919;34.5;25429.9;24083.3;1253.19;59.1117;0;148;654.184;4104.41;8;3030880;120;20;25;60;0
2023-8-9;2:36:40;cq;20201106;3326.5;24;23763.2;22544.4;1720.26;55.13;0;140;896.144;2784.35;8;3005197;120;20;25;60;0
2023-8-9;2:39:40;cq;20201110;3499.5;0;24386.9;22612.3;1513.99;59.3333;0;142;612.507;4437.09;8;3005892;120;20;25;60;0
2023-8-9;2:39:41;cq;20201113;3648;22.5;23152.5;21757.1;1553.83;58.0614;0;144;1674.42;2424.35;8;3006735;120;20;25;60;0
2023-8-9;2:39:41;cq;20201116;2881;58.5;22504.8;20938.6;1318.38;57.365;0;135;1108.68;3324.51;7;3007157;120;20;25;60;0
2023-8-9;2:39:43;cq;20201117;3224.5;64;23341.6;22018;1599.19;59.4733;0;140;643.191;2407.32;7;3007889;120;20;25;60;0
2023-8-9;2:39:43;cq;20201111;3437.5;0;24372.7;22743.4;933.455;59.2524;0;143;2036.32;3287.47;8;3008197;120;20;25;60;0
2023-8-9;2:39:44;cq;20201109;1746.5;0;13500.9;12383.3;141.812;46.9067;0;94;1728.54;759.641;7;3009004;120;20;25;60;0
2023-8-9;2:39:44;cq;20201112;3653.5;31;25084.5;23628.8;1192.97;57.29;0;142;330.319;4744.5;8;3009813;120;20;25;60;0
2023-8-9;2:39:47;cq;20201118;3541;0;21974.1;20439.9;1098.09;56.7067;0;139;606.371;4855.87;8;3012633;120;20;25;60;0
2023-8-9;2:40:22;cq;20201021;1160.5;0;6003.12;5539.89;55.487;17.5617;0;68;2915.59;330.125;6;2390659;120;20;25;60;0
2023-8-9;2:43:37;cq;20201128;776;0;2700.51;2054.75;0;0;0;31;479.669;643.445;3;3004113;120;20;25;60;0
2023-8-9;2:43:38;cq;20201127;2546;583.5;16960.6;15538.3;793.711;56.6664;0;135;1690.38;2663.68;7;3005263;120;20;25;60;0
2023-8-9;2:43:38;cq;20201126;2939.5;31.5;21804.6;20495.3;1095.34;58.463;0;133;1051.47;3291.89;7;3005627;120;20;25;60;0
2023-8-9;2:43:38;cq;20201125;2412.5;12.5;18049.5;16682.4;759.316;56.6898;0;137;2699.35;2392.15;7;3005633;120;20;25;60;0
2023-8-9;2:43:38;cq;20201119;3277.5;170;21008.1;19476.1;929.895;58.0998;0;141;812.028;2414.07;8;3005379;120;20;25;60;0
2023-8-9;2:43:40;cq;20201120;3327.5;74;23950.5;22149.7;1546.86;59.8867;0;140;1071.89;2847.12;8;3006727;120;20;25;60;0
2023-8-9;2:43:40;cq;20201124;2672.5;13;16132.4;14440.2;566.295;56.3483;0;128;1947.98;1850.89;8;3007618;120;20;25;60;0
2023-8-9;2:43:41;cq;20201123;2595;0;19256.4;17938.8;631.636;54.4971;0;128;1448.29;2916.7;7;3008399;120;20;25;60;0
2023-8-9;2:43:56;cq;20201130;2327.5;0;15248.5;13802.9;367.762;46.0417;0;117;1804.1;1780.43;6;3023475;120;20;25;60;0
2023-8-9;2:45:42;cq;20201001;3085;89;19079.8;18027.7;1011.74;58.4074;0;131;1072.01;3588.4;7;3005777;120;20;25;60;0
2023-8-9;2:47:32;cq;20201008;4139.5;163;26684.6;24879.5;1334.7;58.105;0;141;362.887;8375.63;8;3005711;120;20;25;60;0
2023-8-9;2:47:33;cq;20201005;3172;28;22154.2;20820.7;711.119;59.5733;0;116;112.142;4760.88;8;3006181;120;20;25;60;0
2023-8-9;2:47:35;cq;20201014;3471;0;22528.8;21379.8;778.741;46.4067;0;137;547.687;3999.28;8;3008197;120;20;25;60;0
2023-8-9;2:47:36;cq;20201009;3229;0;19068.1;17543.4;295.979;47.885;0;129;638.607;1955.55;8;3008712;120;20;25;60;0
2023-8-9;2:47:38;cq;20201007;2512.5;0;15107;13902.9;42.4191;22.5733;0;127;1702.6;657.855;8;3010625;120;20;25;60;0
2023-8-9;2:47:38;cq;20201006;3598.5;141;22133.3;20749;831.329;59.5283;0;137;1107.98;4425.25;8;3010154;120;20;25;60;0
2023-8-9;2:47:56;cq;20201013;1565;0;9038.01;8421.29;49.1274;26.2367;0;94;4311.05;118.457;8;3027301;120;20;25;60;0
2023-8-9;2:48:18;cq;20201002;2893.5;0;17413.3;16141.7;831.017;58.55;0;131;1836.19;1472.97;8;3006927;120;20;25;60;0
2023-8-9;2:49:27;cq;20201015;3983;198;24975.1;23129.9;1114.51;59.775;0;140;357.607;5026.27;8;3004821;120;20;25;60;0
2023-8-9;2:49:50;cq;20201017;297;522;1268.09;999.706;0;0;0;18;2196.25;201.023;2;3003923;120;20;25;60;0
2023-8-9;2:49:51;cq;20201016;2060;0;11479.7;10659;310.218;45.0717;0;112;2734.54;552.465;8;3007959;120;20;25;60;0
2023-8-9;2:50:38;cq;20201020;2673;0;17845.1;17164.9;687.598;59.2417;0;130;2358;2462.85;8;3006737;120;20;25;60;0
2023-8-9;2:50:40;cq;20201019;3005.5;4;22734.4;21528.2;380.944;38.7772;0;134;1031.03;2607.58;8;3008518;120;20;25;60;0
2023-8-9;2:51:35;cq;20201028;3005.5;87;21806.2;20464.2;1211.4;59.3883;0;146;1560.67;2526.77;7;3005343;120;20;25;60;0
2023-8-9;2:51:35;cq;20201024;937.5;0;4293.6;3925.46;0;0;0;35;224.278;936.577;3;3003693;120;20;25;60;0
2023-8-9;2:51:35;cq;20201026;1839.5;0;12985.9;12211.4;85.6334;37.5833;0;116;2521.68;793.383;8;3005974;120;20;25;60;0
2023-8-9;2:51:36;cq;20201030;3478;35;20382.4;18598.8;1132.61;57.6067;0;149;2720.46;1652.61;8;3006706;120;20;25;60;0
2023-8-9;2:51:36;cq;20201029;3946.5;0;27641.5;25762;1805.05;59.1739;0;150;379.635;5274.1;8;3007057;120;20;25;60;0
2023-8-9;2:51:37;cq;20201027;3577;20;23622.3;22350.5;1010.68;57.2417;0;153;1464.02;5687.15;8;3007455;120;20;25;60;0
2023-8-9;2:51:37;cq;20201102;3078.5;0;23184.3;22188.7;538.833;29.4367;0;132;401.822;4609.57;8;3008118;120;20;25;60;0
2023-8-9;2:51:38;cq;20201022;3369.5;67.5;24958.3;23824.2;1165.83;58.2972;0;147;1682.85;4088.59;8;3009149;120;20;25;60;0
2023-8-9;2:51:39;cq;20201023;3701;117;22533.4;20909.6;989.659;56.1083;0;145;1980.29;5055.46;8;3007364;120;20;25;60;0
2023-8-9;2:52:36;cq;20201103;3940;102.5;23610.7;22205.2;1010.89;58.6517;0;144;1051.09;4101.61;8;3007075;120;20;25;60;0
2023-8-9;2:53:47;cq;20201104;3937;16.5;25571.5;24262.5;1192.39;56.7308;0;148;784.797;3996.81;8;3011085;120;20;25;60;0
2023-8-9;2:54:6;cq;20201105;3670;410;23106.8;21578.3;1267.24;58.9233;0;146;1526.1;3829.84;8;3009473;120;20;25;60;0
2023-8-9;2:54:22;cq;20201106;3326.5;24;23105.2;21800.6;1763.86;56.0743;0;141;978.637;2805.56;8;3006132;120;20;25;60;0
2023-8-9;2:55:53;cq;20201118;3525;16;21750.4;20248.4;1300.64;59.3783;0;139;708.381;4233.03;8;3005418;120;20;25;60;0
2023-8-9;2:55:54;cq;20201113;3670.5;0;23983.7;22607.8;1013.25;59.4007;0;144;585.8;4369.8;8;3005647;120;20;25;60;0
2023-8-9;2:55:55;cq;20201117;3244;44.5;23905.3;22614.8;1740.47;59.2979;0;140;600.705;2245.51;7;3006762;120;20;25;60;0
2023-8-9;2:55:55;cq;20201111;3437.5;0;24245.6;22651.3;916.187;59.0674;0;143;1995.42;3394.06;8;3007263;120;20;25;60;0
2023-8-9;2:55:55;cq;20201112;3653.5;31;25206.9;23829.6;1449.37;59.0106;0;142;339.494;5034.38;8;3007235;120;20;25;60;0
2023-8-9;2:55:57;cq;20201109;1746.5;0;13983.5;12925.5;138.649;39.7233;0;94;1135.44;750.604;7;3008845;120;20;25;60;0
2023-8-9;2:56:0;cq;20201116;2881;58.5;23218;21630.7;1340.59;56.2317;0;137;808.115;3114.52;7;3007681;120;20;25;60;0
2023-8-9;2:56:0;cq;20201110;3493.5;6;24044.4;22273.7;1799.74;59.0317;0;142;854.467;4095.92;8;3012006;120;20;25;60;0
2023-8-9;2:56:53;cq;20201119;3291.5;156;20924;19364.4;943.095;59.0313;0;141;425.335;2626.12;8;3022232;120;20;25;60;0
2023-8-9;2:56:56;cq;20201120;3319;82.5;23879.6;22029.5;1553.2;58.7883;0;140;1095.04;2897.27;8;3005262;120;20;25;60;0
2023-8-9;2:59:0;cq;20201123;2595;0;20075.7;18824.2;706.489;56.3333;0;128;424.466;2775.75;7;3006051;120;20;25;60;0
2023-8-9;2:59:6;cq;20201124;2672.5;13;18677.8;17027.1;718.084;59.8986;0;126;1133.53;3195.47;8;3008468;120;20;25;60;0
2023-8-9;3:0:1;cq;20201125;2425;0;18799.3;17560.6;942.933;59.4163;0;137;2170.09;2341.97;7;3007414;120;20;25;60;0
2023-8-9;3:0:5;cq;20201128;776;0;2660.76;2035.84;0;0;0;31;281.94;570.37;3;3003860;120;20;25;60;0
2023-8-9;3:0:6;cq;20201126;2964.5;6.5;22366.1;21134.4;1077.25;58.2983;0;133;408.212;3211.85;7;3006363;120;20;25;60;0
2023-8-9;3:0:10;cq;20201127;2570.5;559;17292.7;15903.2;796.53;59.6067;0;137;1101.84;3188.84;7;3005580;120;20;25;60;0
2023-8-9;3:0:15;cq;20201130;2327.5;0;15503.7;13919.6;420.387;51.039;0;117;1327.07;1484.1;6;3013239;120;20;25;60;0
